trend_id,title,channel_id,category_id,publish_id,views,likes
5,10 Surprising Things That Exist Inside Black Holes,498,24,21,692151,17273
6,10 Surprising Things That Exist Inside Black Holes,498,24,21,695963,17368
7,10 Surprising Things That Exist Inside Black Holes,498,24,21,702394,17485
8,10 Surprising Things That Exist Inside Black Holes,498,24,21,711925,17673
9,10 Surprising Things That Exist Inside Black Holes,498,24,21,715054,17709
10,10 Surprising Things That Exist Inside Black Holes,498,24,21,720070,17796
11,10 Surprising Things That Exist Inside Black Holes,498,24,21,723532,17863
12,10 Surprising Things That Exist Inside Black Holes,498,24,21,726277,17921
3,10 Surprising Things That Exist Inside Black Holes,498,24,21,677463,16940
1,10 Surprising Things That Exist Inside Black Holes,498,24,21,646353,16379
4,10 Traits of Toxic Parents Who Ruin Their Children’s Lives,71,26,29,286666,6932
3,10 Traits of Toxic Parents Who Ruin Their Children’s Lives,71,26,29,146607,4032
9,10 Unexpected Products from Popular Brands!,499,23,32,1434037,48880
8,10 Unexpected Products from Popular Brands!,499,23,32,1375713,47886
7,10 Unexpected Products from Popular Brands!,499,23,32,1185368,43622
5,10 Video Game Products That Actually Work!,499,23,29,1240482,32735
6,10 Video Game Products That Actually Work!,499,23,29,1311337,33858
3,10 Video Game Products That Actually Work!,499,23,29,726613,24745
4,10 Video Game Products That Actually Work!,499,23,29,1139264,31098
12,10 of the Most GIANT Products that Actually Work!,499,23,19,3920987,75808
4,10 of the Most GIANT Products that Actually Work!,499,23,19,3610239,71406
6,10 of the Most GIANT Products that Actually Work!,499,23,19,3682271,72391
3,10 of the Most GIANT Products that Actually Work!,499,23,19,3554003,70608
2,10 of the Most GIANT Products that Actually Work!,499,23,19,3494556,69809
1,10 of the Most GIANT Products that Actually Work!,499,23,19,3410149,68669
0,10 of the Most GIANT Products that Actually Work!,499,23,19,3326791,67581
5,10 of the Most GIANT Products that Actually Work!,499,23,19,3645059,71861
11,10 of the Most GIANT Products that Actually Work!,499,23,19,3870433,75125
8,10 of the Most GIANT Products that Actually Work!,499,23,19,3768800,73719
9,10 of the Most GIANT Products that Actually Work!,499,23,19,3790073,73996
10,10 of the Most GIANT Products that Actually Work!,499,23,19,3826316,74555
7,10 of the Most GIANT Products that Actually Work!,499,23,19,3716209,72887
7,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,977202,19558
9,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,1034435,20184
10,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,1055023,20409
8,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,1018694,20046
5,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,866702,18408
11,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,1071017,20537
4,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,769560,17378
3,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,599116,15064
2,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,347201,11264
2,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,347201,11264
6,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,938611,19178
12,100 LAYERS OF DEEP FRIED PIZZA 🍕CHALLENGE!!!,346,24,28,1083920,20667
8,11 IDÉES BIZARRES POUR INTRODUIRE DES GADGETS EN CLASSE / BLAGUES A FAIRE EN COURS,801,26,35,211647,6189
9,11 IDÉES BIZARRES POUR INTRODUIRE DES GADGETS EN CLASSE / BLAGUES A FAIRE EN COURS,801,26,35,261799,6606
5,13 Reasons Why I HATE 13 Reasons Why (Season 2),361,23,29,1117681,58843
4,13 Reasons Why I HATE 13 Reasons Why (Season 2),361,23,29,978971,54605
6,13 Reasons Why I HATE 13 Reasons Why (Season 2),361,23,29,1240573,62753
3,13 Reasons Why I HATE 13 Reasons Why (Season 2),361,23,29,614842,40747
7,13 Reasons Why I HATE 13 Reasons Why (Season 2),361,23,29,1318513,65225
5,13 Reasons Why: Season 3 | Announcement | Netflix,547,24,31,430055,18754
1,15 Minute Makeup ⏰ My QUICK GLAM Makeup Routine! 💣,664,26,26,134411,8298
0,16 Magic Tricks That You Can Do,802,26,26,517678,7062
1,16 Magic Tricks That You Can Do,802,26,26,2785599,18678
2,16 Magic Tricks That You Can Do,802,26,26,3986920,23422
9,17 AMAZING LIFE HACKS WITH BALLOONS,5,26,25,3882516,18721
2,17 POPULAR RIDDLES AND TRIVIA TO SHOCK YOUR BRAIN,8,27,28,139271,1077
0,18 ASTUCES AVEC DE LA COLLE CHAUDE,801,26,26,257710,5735
12,"180613 JIN & V - Even If I Die, It's You (Hwarang OST)",407,22,38,793776,95387
10,19 Magic Tricks That You Can Do,802,26,36,449404,7279
11,19 Magic Tricks That You Can Do,802,26,36,1410774,14248
3,19 Magic Tricks That You Can Do,802,26,29,480970,6215
4,19 Magic Tricks That You Can Do,802,26,29,1590326,11764
12,1998 VS 2018,677,23,38,946738,42148
5,"1st Quarter, One Box Video: Cleveland Cavaliers vs. Golden State Warriors",518,17,32,264477,1261
5,20 Magic Tricks That You Can Do,802,26,31,425676,4746
10,20 TOURS IMPRESSIONNANTS QUE VOUS POUVEZ FAIRE AVEC LA NOURRITURE,801,26,36,180550,4997
2,200集超硬斗特別企劃！！憲哥領軍紅隊～大戰浩子、Janet超堅強陣容的黃黑兩隊！！就是要給你不一樣！！綜藝玩很大 x 518人力銀行【第一百回 台灣 高雄】20180602【第199集完整版】,932,24,29,86795,702
8,2018 Canadian Grand Prix: Qualifying Highlights,258,17,34,791056,14971
9,2018 Canadian Grand Prix: Race Highlights,258,17,35,397553,9974
10,2018 Canadian Grand Prix: Race Highlights,258,17,35,1122914,17262
2,2018 FIFA World Cup | Forget | ITV,365,24,5,354451,4639
