trend_id,trending_date
0,2018-06-02
1,2018-06-03
2,2018-06-04
3,2018-06-05
4,2018-06-06
5,2018-06-07
6,2018-06-08
7,2018-06-09
8,2018-06-10
9,2018-06-11
10,2018-06-12
11,2018-06-13
12,2018-06-14
